NOME DE PREGÃO,SEGMENTO,Demonstrações Financeiras do Exercício,Unnamed: 3,Unnamed: 4,Unnamed: 5,Assembléia Geral Ordinária,Unnamed: 7,Formulário de Referência,Unnamed: 9,Reunião Pública com Analistas,Unnamed: 11,Informações do 1º Trimestre - ITR,Unnamed: 13,Informações do 2º Trimestre - ITR,Unnamed: 15,Informações do 3º Trimestre - ITR,Unnamed: 17,Apresentação Pública sobre Divulgação de Resultados,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Atualizado,18/02/2021
,,Demonstrações Financeiras Anuais Completas,,Padronizadas - DFP,,,,,,,,,,,,,,Exercício Social,,1º trimestre,,2º trimestre,,3º trimestre,,,,
,,Previsão,Entrega,Previsão,Entrega,Previsão,Realização ,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Entrega,Previsão,Entrega,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,,,
3R PETROLEUM,NM,19/03/2021,,19/03/2021,,26/04/2021,,31/05/2021,,,,12/05/2021,,04/08/2021,,10/11/2021,,19/03/2021,19/01/2021,13/05/2021,,05/08/2021,,11/11/2021,,,,
ABC BRASIL,N2,08/02/2021,,08/02/2021,08/02/2021,16/04/2021,,28/05/2021,,01/11/2020,,14/05/2021,,06/08/2021,,04/11/2021,,,,,,,,,,,,
AERIS,NM,09/02/2021,,09/02/2021,09/02/2021,24/03/2021,,24/05/2021,,,,12/05/2021,,03/08/2021,,09/11/2021,,10/02/2021,10/02/2021,13/05/2021,,04/08/2021,,10/11/2021,,,,
AES TIETE E,N2,24/02/2021,,24/02/2021,,28/04/2021,,31/05/2021,,07/12/2021,,05/05/2021,,04/08/2021,,03/11/2021,,,,,,,,,,,,
ALIANSCSONAE,NM,10/03/2021,,10/03/2021,,30/04/2021,,31/05/2021,,,,12/05/2021,,11/08/2021,,10/11/2021,,11/03/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,
ALLIAR,NM,17/03/2021,,17/03/2021,,26/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,18/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
ALPARGATAS,N1,12/02/2021,,12/02/2021,12/02/2021,22/04/2021,,31/05/2021,,01/12/2021,18/02/2021,03/05/2021,,30/07/2021,,28/10/2021,,,,,,,,,,,,
ALPER S.A.,NM,25/03/2021,,25/03/2021,,28/04/2021,,31/05/2021,,,,06/05/2021,,12/08/2021,,04/11/2021,,26/03/2021,,07/05/2021,,13/08/2021,,05/11/2021,,,,
ALPHAVILLE,NM,29/03/2021,,29/03/2021,,29/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,,,,,,,,,,,
ALUPAR,N2,10/03/2021,,10/03/2021,,27/04/2021,,27/05/2021,,01/11/2021,,10/05/2021,,09/08/2021,,09/11/2021,,,,,,,,,,,,
AMBIPAR,NM,24/03/2021,,24/03/2021,,30/04/2021,,31/05/2021,,,,12/05/2021,,11/08/2021,,10/11/2021,,25/03/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,
ANIMA,NM,17/03/2021,,17/03/2021,,26/04/2021,,31/05/2021,,,,12/05/2021,,11/08/2021,,15/11/2021,,18/03/2021,,13/05/2021,,12/08/2021,,16/11/2021,,,,
AREZZO CO,NM,04/03/2021,,04/03/2021,,29/04/2021,,27/05/2021,,,,06/05/2021,,05/08/2021,,28/10/2021,,05/03/2021,,07/05/2021,,06/08/2021,,29/10/2021,,,,
ATMASA,NM,26/02/2021,,26/02/2021,,31/03/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,01/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
AZUL,N2,04/03/2021,,04/03/2021,,29/04/2021,,31/05/2021,,24/06/2021,,06/05/2021,,05/08/2021,,10/11/2021,,,,,,,,,,,,
B2W DIGITAL,NM,04/03/2021,,04/03/2021,,30/04/2021,,31/05/2021,,,,06/05/2021,,12/08/2021,,11/11/2021,,05/03/2021,,07/05/2021,,13/08/2021,,12/11/2021,,,,
B3,NM,04/03/2021,,04/03/2021,,29/04/2021,,31/05/2021,,,,06/05/2021,,11/08/2021,,11/11/2021,,05/03/2021,,07/05/2021,,12/08/2021,,12/11/2021,,,,
BAHEMA,MA,29/03/2021,,29/03/2021,,30/04/2021,,31/05/2021,,,,12/05/2021,,10/08/2021,,10/11/2021,,,,,,,,,,,,
BANCO BMG,N1,25/02/2021,,25/02/2021,,30/04/2021,,31/05/2021,,26/02/2021,,06/05/2021,,05/08/2021,,04/11/2021,,,,,,,,,,,,
BANCO INTER,N2,04/03/2021,,04/03/2021,,28/04/2021,,31/05/2021,,01/12/2021,,11/05/2021,,11/08/2021,,11/11/2021,,,,,,,,,,,,
BANCO PAN,N1,08/02/2021,,08/02/2021,08/02/2021,29/04/2021,,31/05/2021,,01/11/2021,,05/05/2021,,04/08/2021,,04/11/2021,,,,,,,,,,,,
BANRISUL,N1,10/02/2021,,10/02/2021,10/02/2021,27/04/2021,,30/05/2021,,15/12/2021,11/02/2021,13/05/2021,,12/08/2021,,11/11/2021,,,,,,,,,,,,
BBMLOGISTICA,MA,31/03/2021,,31/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
BBSEGURIDADE,NM,08/02/2021,,08/02/2021,08/02/2021,29/04/2021,,31/05/2021,,,,03/05/2021,,02/08/2021,,01/11/2021,,08/02/2021,08/02/2021,03/05/2021,,02/08/2021,,01/11/2021,,,,
BEMOBI TECH,NM,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,06/04/2021,,21/05/2021,,20/08/2021,,19/11/2021,,,,
BIOMM,MA,26/03/2021,,26/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
BIOSEV,NM,10/06/2021,,10/06/2021,,30/07/2021,,31/08/2021,,,,12/08/2021,,11/11/2021,,14/02/2022,,11/06/2021,,13/08/2021,,12/11/2021,,15/02/2022,,,,
BK BRASIL,NM,25/02/2021,,25/02/2021,,29/04/2021,,31/05/2021,,,,06/05/2021,,05/08/2021,,04/11/2021,,26/02/2021,,07/05/2021,,06/08/2021,,05/11/2021,,,,
BOA VISTA,NM,19/03/2021,,19/03/2021,,20/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,22/03/2021,,17/05/2021,,16/08/2021,,16/11/2021,,,,
BR BROKERS,NM,01/03/2021,,01/03/2021,,30/04/2021,,08/03/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,02/03/2021,,17/05/2021,,16/08/2021,,16/11/2021,,,,
BR MALLS PAR,NM,11/03/2021,,11/03/2021,,30/04/2021,,28/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,12/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
BR PROPERT,NM,08/02/2021,,08/02/2021,08/02/2021,26/04/2021,,31/05/2021,,,,05/05/2021,,04/08/2021,,04/11/2021,,09/02/2021,09/02/2021,06/05/2021,,05/08/2021,,05/11/2021,,,,
BRADESCO,N1,03/02/2021,,03/02/2021,03/02/2021,10/03/2021,,31/05/2021,,09/11/2021,,04/05/2021,,03/08/2021,,04/11/2021,,,,,,,,,,,,
BRADESPAR,N1,25/03/2021,,25/03/2021,,30/04/2021,,31/05/2021,,15/04/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,,,,,,,,,
BRASIL,NM,11/02/2021,,11/02/2021,11/02/2021,28/04/2021,,28/05/2021,,,,06/05/2021,,05/08/2021,,04/11/2021,,12/02/2021,12/02/2021,07/05/2021,,06/08/2021,,05/11/2021,,,,
BRASILAGRO,NM,30/08/2021,,30/08/2021,,20/10/2021,,30/11/2021,,,,04/11/2021,,07/02/2022,,10/05/2022,,31/08/2021,10/02/2021,05/11/2021,,08/02/2022,,11/05/2022,,,,
BRASKEM,N1,10/03/2021,,10/03/2021,,13/04/2021,,31/05/2021,,01/12/2021,01/02/2021,05/05/2021,,04/08/2021,,09/11/2021,,,,,,,,,,,,
BRF SA,NM,25/02/2021,,25/02/2021,,27/04/2021,,31/05/2021,,,,14/05/2021,,12/08/2021,,11/11/2021,,26/02/2021,,17/05/2021,,13/08/2021,,12/11/2021,,,,
BRQ,MA,17/02/2021,,17/02/2021,17/02/2021,31/03/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
BTGP BANCO,N2,09/02/2021,,09/02/2021,09/02/2021,29/04/2021,,31/05/2021,,09/12/2021,,11/05/2021,,10/08/2021,,09/11/2021,,,,,,,,,,,,
CAMIL,NM,06/05/2021,,06/05/2021,,30/06/2021,,31/07/2021,,,,07/07/2021,,07/10/2021,,06/01/2022,,07/05/2021,,08/07/2021,,08/10/2021,,07/01/2022,,,,
CARREFOUR BR,NM,17/02/2021,,17/02/2021,17/02/2021,13/04/2021,,31/05/2021,,,,11/05/2021,,28/07/2021,,09/11/2021,,18/02/2021,18/02/2021,12/05/2021,,29/07/2021,,10/11/2021,,,,
CCR SA,NM,03/03/2021,,03/03/2021,,08/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,04/03/2021,,17/05/2021,,16/08/2021,,15/11/2021,,,,
CEA MODAS,NM,18/03/2021,,18/03/2021,,30/04/2021,,28/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,19/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
CEDRO,N1,30/03/2021,,30/03/2021,,30/04/2021,,27/05/2021,,31/03/2021,,15/04/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
CEEE-D,N1,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,19/11/2020,,14/05/2021,,12/08/2021,,12/11/2021,,,,,,,,,,,,
CEEE-GT,N1,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,19/11/2021,,14/05/2021,,12/08/2021,,12/11/2021,,,,,,,,,,,,
CELESC,N2,12/03/2021,,12/03/2021,,29/04/2021,,28/05/2021,,15/04/2021,,07/05/2021,,06/08/2021,,12/11/2021,,,,,,,,,,,,
CEMIG,N1,31/03/2021,,31/03/2021,,30/04/2021,,31/05/2021,,31/05/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
CENTAURO,NM,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,31/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
CESP,N1,11/02/2021,,11/02/2021,11/02/2021,30/03/2021,,28/05/2021,,24/11/2021,12/02/2021,27/04/2021,,27/07/2021,,26/10/2021,,,,,,,,,,,,
CIA HERING,NM,03/03/2021,,03/03/2021,,29/04/2021,,28/05/2021,,,,06/05/2021,,05/08/2021,,28/10/2021,,04/03/2021,,07/05/2021,,06/08/2021,,29/10/2021,,,,
CIELO,NM,26/01/2021,,26/01/2021,26/01/2021,23/04/2021,,31/05/2021,,,,27/04/2021,,27/07/2021,,26/10/2021,,27/01/2021,27/01/2021,28/04/2021,,28/07/2021,,27/10/2021,,,,
CINESYSTEM,MA,26/03/2021,,26/03/2021,,28/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
COGNA ON,NM,26/03/2021,,26/03/2021,,28/04/2021,,27/05/2021,,,,14/05/2021,,10/08/2021,,12/11/2021,,26/03/2021,,14/05/2021,,10/08/2021,,12/11/2021,,,,
COPASA,NM,01/03/2021,,01/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,02/03/2021,,21/05/2021,,20/08/2021,,22/11/2021,,,,
COPEL,N1,17/03/2021,,17/03/2021,,29/04/2021,,31/05/2021,,29/01/2021,20/01/2021,05/05/2021,,11/08/2021,,10/11/2021,,,,,,,,,,,,
COSAN,NM,11/02/2021,,11/02/2021,11/02/2021,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,12/02/2021,08/02/2021,17/05/2021,,16/08/2021,,15/11/2021,,,,
COSAN LOG,NM,12/02/2021,,12/02/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,12/02/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
CPFL ENERGIA,NM,25/03/2021,,25/03/2021,,30/04/2021,,21/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,26/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
CSU CARDSYST,NM,04/03/2021,,04/03/2021,,13/04/2021,,28/05/2021,,,,06/05/2021,,05/08/2021,,04/11/2021,,05/03/2021,,07/05/2021,,06/08/2021,,05/11/2021,,,,
CTC S.A.,MA,17/06/2021,,17/06/2021,,23/07/2021,,31/08/2021,,,,13/08/2021,,12/11/2021,,11/02/2022,,,,,,,,,,,,
CURY SA,NM,18/03/2021,,18/03/2021,,23/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,19/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
CVC BRASIL,NM,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,31/03/2021,10/02/2021,17/05/2021,,16/08/2021,,16/11/2021,,,,
CYRE COM-CCP,NM,11/02/2021,,11/02/2021,11/02/2021,30/04/2021,,31/05/2021,,,,15/05/2021,,14/08/2021,,13/11/2021,,12/02/2021,12/02/2021,16/05/2021,,15/08/2021,,14/11/2021,,,,
CYRELA REALT,NM,18/03/2021,,18/03/2021,,23/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,19/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
D1000VFARMA,NM,16/03/2021,,16/03/2021,,26/04/2021,,21/05/2021,,,,05/05/2021,,04/08/2021,,09/11/2021,,17/03/2021,,06/05/2021,,05/08/2021,,09/11/2021,,,,
DIMED,N2,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,01/05/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,,,,,,,,,
DIRECIONAL,NM,15/03/2021,,15/03/2021,,29/04/2021,,31/05/2021,,,,10/05/2021,,09/08/2021,,08/11/2021,,16/03/2021,03/02/2021,11/05/2021,,10/08/2021,,09/11/2021,,,,
DURATEX,NM,08/02/2021,,08/02/2021,08/02/2021,29/04/2021,,31/05/2021,,,,29/04/2021,,28/07/2021,,27/10/2021,,09/02/2021,08/02/2021,30/04/2021,,29/07/2021,,28/10/2021,,,,
ECORODOVIAS,NM,10/03/2021,,10/03/2021,,28/04/2021,,15/03/2021,,,,13/05/2021,,29/07/2021,,28/10/2021,,11/03/2021,06/01/2021,14/05/2021,,30/07/2021,,29/10/2021,,,,
ELETROBRAS,N1,24/03/2021,,24/03/2021,,27/04/2021,,27/05/2021,,11/11/2021,12/01/2021,12/05/2021,,11/08/2021,,10/11/2021,,,,,,,,,,,,
ELETROMIDIA,NM,29/03/2021,,29/03/2021,,30/04/2021,,28/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,29/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
EMBRAER,NM,24/03/2021,,24/03/2021,,26/04/2021,,31/05/2021,,,,29/04/2021,,29/07/2021,,28/10/2021,,24/03/2021,,29/04/2021,,29/07/2021,,28/10/2021,,,,
ENAUTA PART,NM,24/03/2021,,24/03/2021,,27/04/2021,,26/05/2021,,,,12/05/2021,,11/08/2021,,10/11/2021,,25/03/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,
ENERGIAS BR,NM,19/02/2021,,19/02/2021,,14/04/2021,,31/05/2021,,,,26/04/2021,,26/07/2021,,25/10/2021,,22/02/2021,,27/04/2021,,27/07/2021,,26/10/2021,,,,
ENERGISA,N2,11/03/2021,,11/03/2021,,28/04/2021,,31/05/2021,,07/10/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,,,,,,,,,
ENEVA,NM,10/03/2021,,10/03/2021,,30/04/2021,,31/05/2021,,,02/02/2021,12/05/2021,,05/08/2021,,04/11/2021,,11/03/2021,,13/05/2021,,06/08/2021,,05/11/2021,,,,
ENGIE BRASIL,NM,11/02/2021,,11/02/2021,11/02/2021,28/04/2021,,31/05/2021,,,,05/05/2021,,05/08/2021,,04/11/2021,,12/02/2021,11/02/2021,06/05/2021,,06/08/2021,,05/11/2021,,,,
ENJOEI,NM,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,31/03/2021,,17/05/2021,,16/08/2021,,16/11/2021,,,,
EQUATORIAL,NM,24/03/2021,,24/03/2021,,30/04/2021,,31/05/2021,,,,12/05/2021,,10/08/2021,,09/11/2021,,25/03/2021,,13/05/2021,,11/08/2021,,10/11/2021,,,,
ESPACOLASER,NM,29/03/2021,,29/03/2021,,30/04/2021,,31/05/2021,,,,11/05/2021,,12/08/2021,,11/11/2021,,30/03/2021,,12/05/2021,,13/08/2021,,12/11/2021,,,,
ESTAPAR,NM,09/03/2021,,09/03/2021,,13/04/2021,,28/05/2021,,,,11/05/2021,,10/08/2021,,09/11/2021,,11/03/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,
ETERNIT,NM,02/03/2021,,02/03/2021,,20/04/2021,,31/05/2021,,,,11/05/2021,,10/08/2021,,09/11/2021,,03/03/2021,,12/05/2021,,11/08/2021,,10/11/2021,,,,
EUCATEX,N1,24/03/2021,,24/03/2021,,27/04/2021,,31/05/2021,,11/11/2021,,12/05/2021,,11/08/2021,,10/11/2021,,,,,,,,,,,,
EVEN,NM,18/03/2021,,18/03/2021,,28/04/2021,,31/05/2021,,,,03/05/2021,,12/08/2021,,11/11/2021,,19/03/2021,,04/05/2021,,13/08/2021,,12/11/2021,,,,
EZTEC,NM,17/03/2021,,17/03/2021,,29/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,18/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
FER HERINGER,NM,29/03/2021,,29/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,30/03/2021,,17/05/2021,,16/08/2021,,16/11/2021,,,,
FERBASA,N1,02/03/2021,,02/03/2021,,20/04/2021,,31/05/2021,,01/09/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,,,,,,,,,
FLEURY,NM,25/02/2021,,25/02/2021,,30/04/2021,,31/05/2021,,,,29/04/2021,,29/07/2021,,28/10/2021,,26/02/2021,,30/04/2021,,30/07/2021,,29/10/2021,,,,
FLEX S/A,MA,31/03/2021,,31/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
FOCUS ON,NM,25/03/2021,,25/03/2021,,30/04/2021,,31/05/2021,,,,17/05/2021,,16/08/2021,,11/11/2021,,26/03/2021,,18/05/2021,,17/08/2021,,12/11/2021,,,,
FRAS-LE,N1,03/03/2021,,03/03/2021,,13/04/2021,,31/05/2021,,11/11/2021,,12/05/2021,,09/08/2021,,10/11/2021,,,,,,,,,,,,
GAFISA,NM,16/03/2021,,16/03/2021,,16/04/2021,,31/05/2021,,,,14/05/2021,,16/08/2021,,10/11/2021,,17/03/2021,,17/05/2021,,17/08/2021,,11/11/2021,,,,
GENERALSHOPP,NM,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,31/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
GERDAU,N1,24/02/2021,,24/02/2021,,23/04/2021,,31/05/2021,,27/10/2021,,05/05/2021,,04/08/2021,,27/10/2021,,,,,,,,,,,,
GERDAU MET,N1,24/02/2021,,24/02/2021,,30/04/2021,,31/05/2021,,27/10/2021,,05/05/2021,,04/08/2021,,27/10/2021,,,,,,,,,,,,
GOL,N2,18/03/2021,,18/03/2021,,22/04/2021,,31/05/2021,,18/03/2021,,29/04/2021,,29/07/2021,,28/10/2021,,,,,,,,,,,,
GRENDENE,NM,04/03/2021,,04/03/2021,,12/04/2021,,31/05/2021,,,,29/04/2021,,29/07/2021,,28/10/2021,,05/03/2021,,30/04/2021,,30/07/2021,,29/10/2021,,,,
GRUPO MATEUS,NM,24/03/2021,,24/03/2021,,30/04/2021,,25/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,25/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
GRUPO NATURA,NM,04/03/2021,,04/03/2021,,16/04/2021,,31/05/2021,,,,12/05/2021,,12/08/2021,,11/11/2021,,05/03/2021,,13/05/2021,,13/08/2021,,12/11/2021,,,,
GRUPO SOMA,NM,18/03/2021,,18/03/2021,,29/04/2021,,31/05/2021,,,,11/05/2021,,09/08/2021,,11/11/2021,,19/03/2021,,12/05/2021,,10/08/2021,,12/11/2021,,,,
HAPVIDA,NM,18/03/2021,,18/03/2021,,29/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,19/03/2021,11/01/2021,17/05/2021,,16/08/2021,,16/11/2021,,,,
HELBOR,NM,16/03/2021,,16/03/2021,,30/04/2021,,31/05/2021,,,,12/05/2021,,11/08/2021,,10/11/2021,,17/03/2021,,13/05/2021,,12/08/2021,,11/11/2021,,,,
HIDROVIAS BR,NM,15/03/2021,,15/03/2021,,30/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,16/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
HYPERA,NM,26/02/2021,,26/02/2021,,26/04/2021,,31/05/2021,,,,23/04/2021,,23/07/2021,,22/10/2021,,01/03/2021,12/01/2021,26/04/2021,,26/07/2021,,25/10/2021,,,,
IGUA SA,MA,12/03/2021,,12/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
IGUATEMI,NM,04/03/2021,,04/03/2021,,22/04/2021,,28/05/2021,,,,04/05/2021,,03/08/2021,,09/11/2021,,05/03/2021,,05/05/2021,,04/08/2021,,10/11/2021,,,,
IHPARDINI,NM,24/03/2021,,24/03/2021,,28/04/2021,,30/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,25/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
IMC S/A,NM,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,31/03/2021,,17/05/2021,,16/08/2021,,16/11/2021,,,,
INDS ROMI,NM,09/02/2021,,09/02/2021,09/02/2021,16/03/2021,,31/05/2021,,,,20/04/2021,,20/07/2021,,26/10/2021,,10/02/2021,10/02/2021,22/04/2021,,21/07/2021,,27/10/2021,,,,
INTELBRAS,NM,30/03/2021,,30/03/2021,,30/04/2021,,31/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,31/03/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
INTER SA,MA,26/03/2021,,26/03/2021,,30/04/2021,,28/05/2021,,,,14/05/2021,,13/08/2021,,12/11/2021,,,,,,,,,,,,
INTERMEDICA,NM,25/02/2021,,25/02/2021,,06/04/2021,,28/05/2021,,,,11/05/2021,,10/08/2021,,10/11/2021,,26/02/2021,,12/05/2021,,11/08/2021,,11/11/2021,,,,
IOCHP-MAXION,NM,03/03/2021,,03/03/2021,,16/04/2021,,31/05/2021,,,,12/05/2021,,11/08/2021,,03/11/2021,,04/03/2021,,13/05/2021,,12/08/2021,,04/11/2021,,,,
IRANI,|A,26/02/2021,,26/02/2021,,28/04/2021,,31/05/2021,,,,30/04/2021,,30/07/2021,,29/10/2021,,,,,,,,,,,,
IRBBRASIL RE,NM,18/02/2021,,18/02/2021,,29/03/2021,,28/05/2021,,,,13/05/2021,,12/08/2021,,11/11/2021,,19/02/2021,,14/05/2021,,13/08/2021,,12/11/2021,,,,
ITAUSA,N1,22/02/2021,,22/02/2021,,30/04/2021,,31/05/2021,,01/09/2021,,10/05/2021,,09/08/2021,,08/11/2021,,,,,,,,,,,,
